row_index,Mfg_Part_Num,MANUFACTURER_NAME,BRAND_NAME,confidence_score,needs_human_review,review_reason,groundedness_score
101,543302146,U S Lumber,TREX®,1.0,False,Clean,1.0
102,73019603,,,0.75,True,Missing Manufacturer/Brand,1.0
103,73019652,,,0.75,True,Missing Manufacturer/Brand,1.0
104,73019517,,,0.75,True,Missing Manufacturer/Brand,1.0
105,73019602,,,0.75,True,Missing Manufacturer/Brand,1.0
106,73019651,,,0.75,True,Missing Manufacturer/Brand,1.0
107,73019516,,,0.75,True,Missing Manufacturer/Brand,1.0
108,543300256,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
109,543300276,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
110,73045028,,,0.75,True,Missing Manufacturer/Brand,1.0
111,73045031,,,0.75,True,Missing Manufacturer/Brand,1.0
112,543340126,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
113,543340127,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
114,543340146,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
115,543340147,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
116,ADB15516CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
117,ADB15520CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
118,ADB15516EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
119,ADB15520EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
120,ADB15516MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
121,ADB15520MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
122,ADB15516WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
123,ADB15520WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
124,AGB15512CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
125,AGB15516CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
126,AGB15520CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
127,AGB15512EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
128,AGB15516EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
129,AGB15520EW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
130,AGB15512MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
131,AGB15516MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
132,AGB15520MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
133,AGB15512WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
134,AGB15516WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
135,AGB15520WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
136,ADB15516AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
137,ADB15520AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
138,ADB15516CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
139,ADB15520CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
140,ADB15516FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
141,ADB15520FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
142,AGB15512AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
143,AGB15516AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
144,AGB15520AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
145,AGB15512CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
146,AGB15516CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
147,AGB15520CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
148,AGB15512FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
149,AGB15516FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
150,AGB15520FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
151,ADCB15516BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
152,ADCB15520BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
153,ADCB15516SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
154,ADCB15520SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
155,AGB15512BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
156,AGB15516BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
157,AGB15520BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
158,AGB15512SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
159,AGB15516SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
160,AGB15520SG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
161,543140016,U S Lumber,TREX®,1.0,False,Clean,1.0
162,543140020,U S Lumber,TREX®,1.0,False,Clean,1.0
163,543142016,U S Lumber,TREX®,1.0,False,Clean,1.0
164,543142020,U S Lumber,TREX®,1.0,False,Clean,1.0
165,543144016,U S Lumber,TREX®,1.0,False,Clean,1.0
166,543144020,U S Lumber,TREX®,1.0,False,Clean,1.0
167,543143016,U S Lumber,TREX®,1.0,False,Clean,1.0
168,543143020,U S Lumber,TREX®,1.0,False,Clean,1.0
169,543141016,U S Lumber,TREX®,1.0,False,Clean,1.0
170,543141020,U S Lumber,TREX®,1.0,False,Clean,1.0
171,543140412,U S Lumber,TREX®,1.0,False,Clean,1.0
172,543140416,U S Lumber,TREX®,1.0,False,Clean,1.0
173,543140420,U S Lumber,TREX®,1.0,False,Clean,1.0
174,543142412,U S Lumber,TREX®,1.0,False,Clean,1.0
175,543142416,U S Lumber,TREX®,1.0,False,Clean,1.0
176,543142420,U S Lumber,TREX®,1.0,False,Clean,1.0
177,543144412,U S Lumber,TREX®,1.0,False,Clean,1.0
178,543144416,U S Lumber,TREX®,1.0,False,Clean,1.0
179,543144420,U S Lumber,TREX®,1.0,False,Clean,1.0
180,543143412,U S Lumber,TREX®,1.0,False,Clean,1.0
181,543143416,U S Lumber,TREX®,1.0,False,Clean,1.0
182,543143420,U S Lumber,TREX®,1.0,False,Clean,1.0
183,543141412,U S Lumber,TREX®,1.0,False,Clean,1.0
184,543141416,U S Lumber,TREX®,1.0,False,Clean,1.0
185,543141420,U S Lumber,TREX®,1.0,False,Clean,1.0
186,1513703,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
187,1513704,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
188,1513705,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
189,1513706,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
190,1513707,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
191,1513708,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
192,1513709,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
193,1513710,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
194,1513711,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
195,1513712,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
196,1513717,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
197,1513718,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
198,1513719,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
199,1513720,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
200,1513721,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
201,1513724,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
202,1513725,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
203,1513726,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
204,1513727,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
205,1513728,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
206,543076016,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
207,543076020,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
208,543076412,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
209,543076416,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
210,543076420,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
211,1516870,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
212,1516871,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
213,1516872,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
214,1516873,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
215,1516874,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
216,1516879,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
217,1516880,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
218,1516881,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
219,1516882,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
220,1516883,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
221,543005016,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
222,543005020,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
223,543005412,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
224,543005416,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
225,543005420,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
226,1516891,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
227,1516892,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
228,1516893,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
229,1516894,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
230,1516895,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
231,543007016,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
232,543007020,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
233,543007412,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
234,543007416,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
235,543007420,Boise Cascade Building Materials,TREX®,1.0,False,Clean,1.0
236,ADR5117512CS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
237,ADR5117512MH,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
238,ADR5117512WT,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
239,ADR5117512AW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
240,ADR5117512CG,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
241,ADR5117512FW,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
242,1508395,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
243,1508396,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
244,ADCR5117512BS,Parksite,TIMBERTECH®,1.0,False,Clean,1.0
